,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
389,1.733751639917386e-21,3.3204611507286966e-20,True,True
393,0.00013621419301431393,0.00027791427711376795,True,True
394,0.0010084900447482883,0.0018113605243321564,True,True
396,0.011477847802912455,0.01748807733244952,True,True
397,2.7158470319388384e-24,7.780473876740204e-23,True,True
398,0.01329154529335884,0.020035902700067536,True,True
399,0.003461775559723058,0.005720506293688141,True,True
401,0.011510345634144837,0.017536045579844083,True,True
402,4.768812837822552e-22,9.870726805074798e-21,True,True
404,1.1670352383681718e-12,6.815596261937177e-12,True,True
405,0.006344870675235222,0.010077010289113585,True,True
406,0.00010765987877432756,0.00022294706375287804,True,True
408,0.0008375010657485728,0.0015213281714833433,True,True
409,1.921683878601272e-09,7.570601825048342e-09,True,True
410,0.013565904103813533,0.02042096491751296,True,True
411,6.900625252817128e-06,1.69739856531989e-05,True,True
413,5.580440535459848e-10,2.359904779683448e-09,True,True
414,1.3123600845633363e-13,8.733058729133912e-13,True,True
416,0.0006758675917987928,0.0012440716727036918,True,True
417,1.3894814801495772e-25,4.908648787235981e-24,True,True
419,4.2791075549452815e-06,1.0843711751749999e-05,True,True
420,8.798161739415814e-09,3.1865508544205306e-08,True,True
421,0.0002174002765172058,0.00043048942879811213,True,True
422,1.3488076583575082e-05,3.178563475914515e-05,True,True
423,7.206000952937376e-07,2.027421277882625e-06,True,True
424,7.163929600331063e-15,5.594795833893269e-14,True,True
427,6.357620657995065e-16,5.726167719857391e-15,True,True
429,0.0005692796881626718,0.0010598455235488907,True,True
430,3.397649446956965e-15,2.7452943964537688e-14,True,True
431,5.63739609448805e-08,1.8319057332125022e-07,True,True
432,0.0029356181830518698,0.00490168220686459,True,True
433,2.317415046778329e-20,3.773171058727204e-19,True,True
434,9.234892686685481e-14,6.274107761247732e-13,True,True
436,0.02173622563261841,0.03170592736667086,True,True
437,0.03138701796900374,0.04453842084890255,True,True
439,6.296097374501949e-05,0.00013489406194285152,True,True
441,1.5603071002216033e-26,6.558225098863308e-25,True,True
442,6.714408402319921e-06,1.6537126482759715e-05,True,True
443,3.648356588764506e-06,9.323278116998053e-06,True,True
445,4.561640321060823e-06,1.15090311883052e-05,True,True
446,0.017745268697062104,0.026209774003227417,True,True
447,0.005657649066593587,0.009037903423839857,True,True
448,6.105513430494711e-06,1.5123708705448257e-05,True,True
449,4.10748573327214e-06,1.0431757724533404e-05,True,True
450,5.903875078890518e-06,1.4655761170833985e-05,True,True
453,2.7249864738491164e-14,1.9770743946133342e-13,True,True
454,0.001725138279152616,0.0029885443012797274,True,True
455,3.5290313240357355e-11,1.7143986536197224e-10,True,True
456,0.00020784833303800956,0.0004128527024527556,True,True
