,p-values-independent,p-values_i_fdr,significance:p_vlaue_i,significance:p_vlaue_i_fdr
10426,9.25137069807608e-12,4.828321112062365e-11,True,True
10427,0.1413453935043481,0.17756829850829856,False,False
10428,0.021559626601125422,0.031461610874678296,True,True
10429,3.222188125547137e-16,3.012083326235216e-15,True,True
10430,0.01654757041756869,0.024564688404528582,True,True
10431,3.976809703943794e-05,8.745943683721074e-05,True,True
10432,1.1182043447026947e-09,4.54838240045657e-09,True,True
10433,9.046276023109158e-21,1.5565181105499075e-19,True,True
10434,4.8986935498867834e-09,1.832898658745813e-08,True,True
10435,5.424592158894153e-13,3.3195122049201736e-12,True,True
10436,3.1304398659052266e-14,2.2551438149921933e-13,True,True
10437,6.21697898367174e-05,0.00013336435110260686,True,True
10438,3.255625799993165e-19,4.5613086532750956e-18,True,True
10439,5.951496092588798e-09,2.204848702540671e-08,True,True
10440,5.8315428139210616e-12,3.124686790027492e-11,True,True
10441,0.2169150867041248,0.261002167779742,False,False
10442,3.771751025302477e-05,8.316145368487592e-05,True,True
10443,9.341647356966712e-16,8.208390543825024e-15,True,True
10444,0.005435085180600791,0.008709749211027707,True,True
10445,0.024678815485151218,0.03565199343585778,True,True
10446,0.38120502371868414,0.43247277915538285,False,False
10447,4.1684590187730436e-27,2.0002813763695648e-25,True,True
10448,2.761443551434216e-22,5.933325541172398e-21,True,True
10449,0.25014884347169003,0.2965010982844932,False,False
10450,0.8913277748091437,0.9074544619181966,False,False
10451,6.226426748133904e-07,1.7682314988330296e-06,True,True
10452,0.0036973060602260408,0.006084107657687641,True,True
10453,5.297196604338662e-08,1.7285430929344612e-07,True,True
10454,6.420146368539503e-20,9.8848510264278e-19,True,True
10455,0.9928998237915732,0.9942235367493292,False,False
10456,0.007549383011261398,0.011845194506770268,True,True
10457,0.00042549696548592226,0.0008075653789023629,True,True
10458,2.388697795679025e-15,1.971560172974446e-14,True,True
10459,7.600082696278199e-05,0.00016075845301604739,True,True
10460,0.7971171956894947,0.8259972140565065,False,False
10461,0.00023706927993066964,0.0004668686514822524,True,True
10462,0.8092650806217571,0.8364778476479898,False,False
10463,0.015791205929511158,0.023510564718805936,True,True
10464,0.621126710009404,0.6651766112090046,False,False
10465,1.7681329243110117e-05,4.104099062534928e-05,True,True
10466,8.312731676727727e-34,1.6697958106450175e-31,True,True
10467,0.032200067590104575,0.045598505420039064,True,True
10468,0.03607972269374792,0.05065647021574247,True,False
10469,0.5597262662092872,0.6073281357179472,False,False
10470,0.6534159523218395,0.6950591487906267,False,False
10471,0.00021759753393343854,0.00043083064741549,True,True
10472,2.9084875723727273e-08,9.83635920374684e-08,True,True
10473,2.035165310119212e-35,5.9588950393744727e-33,True,True
10474,0.18067421368132108,0.22160941787452584,False,False
10475,2.6036618930540067e-14,1.8986179486073432e-13,True,True
10476,0.0024166939353056044,0.00409458490902357,True,True
10477,0.00144566171521359,0.0025328403783280696,True,True
10478,0.13091066738030555,0.16553079922374309,False,False
10479,0.0005354002616406404,0.0010004369410321322,True,True
10480,0.08934156353712594,0.11694896643963407,False,False
10481,4.003469970342897e-17,4.2717692240687796e-16,True,True
10482,8.444244533818432e-25,2.6331105473233468e-23,True,True
10483,3.1686530443117455e-10,1.379845761040721e-09,True,True
10484,0.06478414257198446,0.08703683654199526,False,False
10485,2.0563391102596182e-25,6.979029102109018e-24,True,True
